,left_knee,left_elbow,left_wrist,left_shoulder,right_knee,right_elbow,right_wrist,right_shoulder
2024-05-23 10:28:05,179,199,313,16,180,188,325,20
2024-05-23 10:28:10,182,83,31,136,179,101,26,116
